AddressID,street,city,state,zip,latitude,longitude,first_name,last_name,phone,email,bedroom,squarefootage,price,Address,Price
1,123 Elm Street,San Francisco,CA,94101,37.7749,-122.4194,Eric,Williams,+1-305-353-0387,kennethmartinez@example.com,5,2616,"$2,362.00",,
2,456 Oak Avenue,Oakland,CA,94607,37.8044,-122.2712,Sara,Davis,769-554-0365,kevin18@example.com,4,1315,"$2,467.00",,
3,789 Maple Drive,Berkeley,CA,94704,37.8715,-122.273,Yvonne,Randolph,745-786-6184x4108,erin67@example.net,1,936,"$2,450.00",,
4,101 Pine Lane,San Jose,CA,95112,37.3382,-121.8863,Christopher,Holloway,001-542-202-7612,diana99@example.com,3,3609,"$2,499.00",,
5,202 Cedar Road,Palo Alto,CA,94301,37.4419,-122.143,Lauren,Neal,377.653.2709x4201,arianawright@example.org,2,1709,"$3,799.00",,
6,303 Birch Boulevard,Daly City,CA,94014,37.6879,-122.4702,Tyler,Hill,886-513-7186x9622,veronica75@example.net,4,1871,"$2,728.00",,
7,404 Spruce Street,Mountain View,CA,94040,37.3861,-122.0839,James,Tran,+1-372-941-4430x0984,katherine15@example.net,2,1274,"$2,210.00",,
8,505 Willow Way,Sunnyvale,CA,94085,37.3688,-122.0363,James,Vazquez,486.987.8331x097,ryan53@example.org,5,1431,"$2,995.00",,
9,606 Ash Court,Santa Clara,CA,95050,37.3541,-121.9552,Ricky,Cooke,(252)891-3641x33372,lawrence61@example.org,1,1394,"$2,070.00",,
10,707 Redwood Road,Fremont,CA,94536,37.5483,-121.9886,Eric,Richard,912-513-1552,xlyons@example.com,5,3781,"$2,775.00",,
11,808 Cypress Street,Hayward,CA,94541,37.6688,-122.0814,Angela,Ellis,335-586-5478,bedwards@example.com,3,3798,"$3,300.00",,
12,909 Fir Avenue,Alameda,CA,94501,37.7652,-122.2416,Christopher,Marshall,809.942.5987,zgarner@example.org,3,1571,"$3,095.00",,
13,111 Poplar Drive,Redwood City,CA,94061,37.4852,-122.2364,Denise,Reyes,(608)319-6587,mward@example.com,3,1096,"$6,500.00",,
14,222 Palm Lane,San Mateo,CA,94401,37.563,-122.3255,Melissa,Richard,001-553-207-2735,robinsonelizabeth@example.org,1,1220,"$1,598.00",,
15,333 Alder Road,Burlingame,CA,94010,37.5841,-122.3661,Bridget,Wilson,413-992-3899x99236,piercefrancisco@example.net,5,1940,"$3,165.00",,
16,444 Dogwood Street,Menlo Park,CA,94025,37.453,-122.1817,Christina,Mcintyre,(471)747-4057,hinesjoseph@example.com,5,3851,"$1,150.00",,
17,555 Hickory Avenue,Cupertino,CA,95014,37.3229,-122.0322,Katelyn,Norton,001-324-650-4827,ramoscharles@example.com,2,2755,"$3,000.00",,
18,666 Magnolia Drive,Milpitas,CA,95035,37.4323,-121.8996,Jason,Garcia,6286339858,tyler55@example.com,3,2345,"$2,915.00",,
19,777 Chestnut Lane,Union City,CA,94587,37.5934,-122.0438,Christopher,Parker,358.864.4303,james05@example.com,4,2237,"$2,799.00",,
20,888 Acacia Court,Livermore,CA,94550,37.6819,-121.768,Tyler,Thompson,434.639.1944,hharvey@example.net,3,3396,"$3,661.00",,
21,999 Juniper Road,Pleasanton,CA,94566,37.6624,-121.8747,Rebecca,Bowman,(565)836-9100x1449,nashkimberly@example.org,2,1321,"$1,650.00",,
22,1210 Laurel Street,Dublin,CA,94568,37.7022,-121.9358,Eric,Clark,(283)247-0489x957,sarah41@example.org,2,831,"$1,845.00",,
23,1311 Bay Road,San Leandro,CA,94577,37.7249,-122.1561,Micheal,Stout,001-559-207-1740x7613,davisaaron@example.com,4,2081,"$2,992.00",,
24,1412 Creek Street,Walnut Creek,CA,94596,37.9063,-122.0649,Sarah,Walker,969-487-6898x71257,brian69@example.com,5,3947,"$2,050.00",,
25,1513 Hilltop Avenue,Richmond,CA,94801,37.9358,-122.3477,Linda,Miller,+1-638-984-5548x90275,caseykelly@example.org,5,2572,"$2,760.00",,
26,1614 Valley Drive,Concord,CA,94521,37.9774,-122.0311,Lisa,Taylor,783.470.1979x414,tonyamarshall@example.com,3,3248,"$2,261.00",,
27,1715 Garden Lane,Antioch,CA,94509,38.0049,-121.8058,Thomas,Taylor,488.760.8195,tstephens@example.net,1,2122,"$1,900.00",,
28,1816 River Road,Pittsburg,CA,94565,38.0279,-121.8847,Amber,Mckinney,303.431.3077x5513,latashafreeman@example.com,4,2572,"$2,850.00",,
29,1917 Forest Street,Brentwood,CA,94513,37.9319,-121.6958,Diana,Love,(218)338-0387x84920,matthew75@example.org,5,2013,"$2,478.00",,
30,2018 Lake Avenue,Martinez,CA,94553,38.0194,-122.1341,Patrick,Martin,(526)570-7519x606,barbara51@example.com,5,1635,"$2,599.00",,
31,2119 Meadow Lane,San Ramon,CA,94582,37.7799,-121.978,Gregory,Johnson,001-796-522-3496x6137,zjimenez@example.org,1,1870,"$4,260.00",,
32,2220 Park Road,Danville,CA,94526,37.8216,-121.9998,Jasmine,Ford,751.281.1142x250,john21@example.com,5,3205,"$2,172.00",,
33,2321 Grove Street,Lafayette,CA,94549,37.8858,-122.118,Juan,Hurley,(821)571-8393x58954,eellis@example.com,2,1461,"$2,584.00",,
34,2422 Ridge Road,Orinda,CA,94563,37.877,-122.1797,Gary,Jennings,+1-859-489-5843,ericharrell@example.org,4,2663,"$1,595.00",,
35,2523 Shore Drive,Moraga,CA,94556,37.8349,-122.1297,Kara,Shepard,(762)568-5833x676,victorsilva@example.com,3,806,"$2,125.00",,
36,2624 Harbor Avenue,Hercules,CA,94547,38.0171,-122.2886,Michele,Bennett,226-495-6712,pwade@example.org,3,2224,"$3,175.00",,
37,2725 Summit Street,El Cerrito,CA,94530,37.9158,-122.3108,David,Jimenez,4245101430,kellihamilton@example.org,4,765,"$2,006.00",,
38,2826 Vista Road,Albany,CA,94706,37.8869,-122.2977,Daniel,Pitts,220.979.5781,williamjones@example.com,4,1908,"$2,557.00",,
39,2927 Field Avenue,Emeryville,CA,94608,37.8313,-122.2852,Kara,Reid,001-942-884-1875x30797,johnsondeborah@example.com,3,738,"$2,445.00",,
40,3028 Desert Lane,Pinole,CA,94564,38.0041,-122.2986,Jason,Morgan,318.827.0097,amartin@example.org,1,1745,"$2,855.00",,
41,3129 Cliff Road,San Pablo,CA,94806,37.9622,-122.3455,Kyle,Alvarez,542-989-4236,garciawayne@example.com,3,2969,"$2,725.00",,
42,3230 Woodland Street,Kensington,CA,94707,37.9106,-122.274,Jocelyn,Perez,(651)993-0046x07911,beardangela@example.net,2,2896,"$2,001.00",,
43,3331 Mountain Avenue,Albany,CA,94706,37.8869,-122.2977,Melissa,Cohen,(374)572-6757x7074,xmullen@example.org,4,2399,"$2,889.00",,
44,3432 Island Road,Alameda,CA,94501,37.7652,-122.2416,Robert,Robinson,399.956.6927x78721,johnsonmichelle@example.org,1,2237,"$2,681.00",,
45,3533 Forest Lane,Piedmont,CA,94611,37.8244,-122.2316,Richard,Jimenez,+1-563-783-6376,rebecca09@example.com,3,2240,"$1,448.00",,
46,3634 Garden Road,Alameda,CA,94501,37.7652,-122.2416,Dawn,Kennedy,903-768-6776,richardhopkins@example.com,1,2471,"$1,642.00",,
47,3735 Meadow Street,San Carlos,CA,94070,37.5072,-122.2605,David,Contreras,001-228-674-6138x22153,brenda72@example.org,1,623,$960.00,,
48,3836 Valley Avenue,Belmont,CA,94002,37.52,-122.2758,Lisa,Henderson,368.613.0045x50810,lindsey17@example.net,5,1440,"$2,964.00",,
49,3937 Pine Lane,Brisbane,CA,94005,37.6808,-122.3997,Heidi,Berg,(228)727-6901x338,steelehailey@example.com,4,3052,"$3,440.00",,
50,4038 Redwood Road,South San Francisco,CA,94080,37.6547,-122.4077,Lisa,Andrews,(559)648-5098,garnergeorge@example.net,5,1059,"$3,256.00",,
51,4139 Maple Drive,Millbrae,CA,94030,37.5985,-122.3871,Elizabeth,Wolfe,+1-771-810-7931x96848,patriciabutler@example.org,5,2638,"$2,717.00",,
52,4240 Elm Street,Burlingame,CA,94010,37.5841,-122.3661,Michael,Wilson,+1-407-443-2563x18677,ywaters@example.org,4,3092,"$3,037.00",,
53,4341 Cedar Avenue,San Bruno,CA,94066,37.6305,-122.4111,Joan,Dominguez,(764)568-6748x9087,jcox@example.net,2,2879,"$4,261.00",,
54,4442 Oak Lane,Pacifica,CA,94044,37.6138,-122.4869,Robert,Bowers,6612100180,mguerrero@example.com,4,1314,"$3,385.00",,
55,4543 Spruce Road,Half Moon Bay,CA,94019,37.4636,-122.4286,Kristina,Moore,550.769.2894,bianca02@example.net,5,1337,"$2,600.00",,
56,4644 Palm Drive,San Francisco,CA,94101,37.7749,-122.4194,Paul,Haley,(556)767-0607x170,martha31@example.org,5,1681,"$2,675.00",,
57,4745 Pine Lane,Oakland,CA,94607,37.8044,-122.2712,Olivia,Miller,(813)534-6531,lloydjoseph@example.org,2,2868,"$1,625.00",,
58,4846 Cypress Street,Berkeley,CA,94704,37.8715,-122.273,Matthew,Smith,(959)619-8103x2918,moorealyssa@example.org,1,3248,"$3,400.00",,
59,4947 Redwood Road,San Jose,CA,95112,37.3382,-121.8863,Matthew,Perez,299.894.3921x4350,dhernandez@example.org,5,1789,"$12,500.00",,
60,5048 Maple Drive,Palo Alto,CA,94301,37.4419,-122.143,Charles,Smith,001-548-697-3369,inguyen@example.org,2,2551,"$7,200.00",,
61,5149 Elm Street,Daly City,CA,94014,37.6879,-122.4702,Tanya,Rangel,001-585-219-1881x3188,odavis@example.org,4,2138,"$2,445.00",,
62,5250 Oak Lane,Mountain View,CA,94040,37.3861,-122.0839,Brenda,Brown,510.584.9793,faguilar@example.org,1,2998,"$2,650.00",,
63,5351 Birch Avenue,Sunnyvale,CA,94085,37.3688,-122.0363,Samantha,Butler,542.990.3792,ypeters@example.org,3,564,"$4,198.00",,
64,5452 Spruce Road,Santa Clara,CA,95050,37.3541,-121.9552,Charlene,Hatfield,375-826-0088,clambert@example.net,3,2297,"$3,588.00",,
65,5553 Redwood Road,Fremont,CA,94536,37.5483,-121.9886,Daniel,Stewart,913.836.1570x219,millerpatrick@example.net,3,944,"$2,455.00",,
66,5654 Cypress Street,Hayward,CA,94541,37.6688,-122.0814,Matthew,Peters,+1-309-759-7892x1207,wilcoxkaren@example.org,4,731,"$2,400.00",,
67,5755 Fir Avenue,Alameda,CA,94501,37.7652,-122.2416,Michael,Orozco,462-414-9613,robertgonzalez@example.org,1,2330,"$3,299.00",,
68,5856 Poplar Drive,Redwood City,CA,94061,37.4852,-122.2364,Lori,Mitchell,490-456-5965,joshuaanderson@example.com,4,1493,"$2,125.00",,
69,5957 Palm Lane,San Mateo,CA,94401,37.563,-122.3255,Paul,Hopkins,9553693825,christopher22@example.com,5,3603,"$2,100.00",,
70,6058 Alder Road,Burlingame,CA,94010,37.5841,-122.3661,Donald,Perkins,001-853-389-9402x04361,cathycoleman@example.org,3,3256,"$1,845.00",,
71,6159 Dogwood Street,Menlo Park,CA,94025,37.453,-122.1817,Earl,Wilson,997-549-0053,williammendez@example.net,2,610,"$1,695.00",,
72,6260 Hickory Avenue,Cupertino,CA,95014,37.3229,-122.0322,Clinton,Campos,(547)717-2121x03104,samanthaflores@example.net,1,2875,"$1,925.00",,
73,6361 Magnolia Drive,Milpitas,CA,95035,37.4323,-121.8996,James,King,001-869-361-6886x28456,hpeters@example.net,2,967,"$1,295.00",,
74,6462 Chestnut Lane,Union City,CA,94587,37.5934,-122.0438,Tiffany,Bishop,001-424-635-4280x4555,kevin89@example.net,2,1093,"$4,495.00",,
75,6563 Acacia Court,Livermore,CA,94550,37.6819,-121.768,Samuel,Smith,9895336054,robertbryant@example.com,4,3709,"$1,595.00",,
76,6664 Juniper Road,Pleasanton,CA,94566,37.6624,-121.8747,Christopher,Porter,001-361-541-6311x911,dgreen@example.com,1,991,"$2,695.00",,
77,6765 Laurel Street,Dublin,CA,94568,37.7022,-121.9358,Mercedes,Soto,739.594.6381,gracevega@example.net,5,2975,"$1,595.00",,
78,6866 Bay Road,San Leandro,CA,94577,37.7249,-122.1561,Marilyn,James,(594)204-4303,matthewnolan@example.com,2,1615,"$3,895.00",,
79,6967 Creek Street,Walnut Creek,CA,94596,37.9063,-122.0649,Melissa,Romero,001-397-943-0468x1733,stephanie96@example.org,3,3320,"$1,795.00",,
80,7068 Hilltop Avenue,Richmond,CA,94801,37.9358,-122.3477,Maria,Nguyen,606-257-1168,austinjordan@example.net,5,1492,"$1,695.00",,
81,7169 Valley Drive,Concord,CA,94521,37.9774,-122.0311,Mariah,Marshall,741-817-1780,johnsonjanet@example.net,1,1784,"$1,695.00",,
82,7270 Garden Lane,Antioch,CA,94509,38.0049,-121.8058,Tim,Gonzales,998.680.5986x496,diazkimberly@example.com,3,1342,"$2,650.00",,
83,7371 River Road,Pittsburg,CA,94565,38.0279,-121.8847,Alexis,Frost,(236)476-1904x692,imartinez@example.org,2,2716,"$1,495.00",,
84,7472 Forest Street,Brentwood,CA,94513,37.9319,-121.6958,Elizabeth,Johnson,(759)252-9348,bmorris@example.net,2,1515,"$2,505.00",,
85,7573 Lake Avenue,Martinez,CA,94553,38.0194,-122.1341,Olivia,Wood,001-955-292-5575x909,murillotheresa@example.net,1,2299,"$5,809.00",,
86,7674 Meadow Lane,San Ramon,CA,94582,37.7799,-121.978,Paul,Davidson,(930)683-5605x9326,taylorheather@example.com,3,3296,"$2,300.00",,
87,7775 Park Road,Danville,CA,94526,37.8216,-121.9998,David,Gray,(394)297-3414x7637,melissa05@example.org,5,2619,"$2,231.00",,
88,7876 Grove Street,Lafayette,CA,94549,37.8858,-122.118,Beth,Carroll,315.884.5948x22816,carrie30@example.com,5,2001,"$2,100.00",,
89,7977 Ridge Road,Orinda,CA,94563,37.877,-122.1797,Richard,Johnston,897-518-5480x7308,hroach@example.org,2,1230,"$3,525.00",,
90,8078 Shore Drive,Moraga,CA,94556,37.8349,-122.1297,Kathryn,Barnes,+1-928-288-2582x4848,james51@example.net,3,1818,"$1,995.00",,
91,8179 Harbor Avenue,Hercules,CA,94547,38.0171,-122.2886,Ralph,Howard,581-820-1321x86303,rogerserica@example.net,2,1496,"$1,800.00",,
92,8280 Summit Street,El Cerrito,CA,94530,37.9158,-122.3108,Paul,Valencia,728.532.1889,loriwest@example.com,2,962,"$2,595.00",,
93,8381 Vista Road,Albany,CA,94706,37.8869,-122.2977,Virginia,Roberts,959-362-2320x893,hfranklin@example.net,4,3471,"$3,319.00",,
94,8482 Field Avenue,Emeryville,CA,94608,37.8313,-122.2852,Gary,Holden,925-239-2648x99705,scott91@example.org,4,1539,"$1,898.00",,
95,8583 Desert Lane,Pinole,CA,94564,38.0041,-122.2986,Melanie,Charles,964.990.3061x9471,shane21@example.org,2,3766,"$3,095.00",,
96,8684 Cliff Road,San Pablo,CA,94806,37.9622,-122.3455,Dawn,Santiago,373-398-2886x198,croberts@example.com,1,2056,"$1,825.00",,
97,8785 Woodland Street,Kensington,CA,94707,37.9106,-122.274,Joshua,Garcia,221.674.8315,alicia37@example.com,4,1550,"$1,700.00",,
98,8886 Mountain Avenue,Albany,CA,94706,37.8869,-122.2977,Cory,Mays,555.222.1387,uwilson@example.org,3,3060,"$2,459.00",,
99,8987 Island Road,Alameda,CA,94501,37.7652,-122.2416,Brian,King,6972527278,shannon22@example.com,5,1885,"$3,041.00",,
100,9088 Forest Lane,Piedmont,CA,94611,37.8244,-122.2316,Angela,Jackson,+1-404-575-4741x82876,kathleen55@example.com,1,2544,"$2,050.00",,
